CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	TITLE	TITLE_TRANSLATION	BOOKTITLE	BOOKTITLE_TRANSLATION	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TYPE	VOLUME	YEAR	HYPHENATION
UNPUBLISHED	alexeyevverheesunpub	Berlin/New York		Alexeyev, Mikhail and Verhees, Samira	Botlikh		Handbook of {C}aucasian {L}anguages. {V}ol. 2. {N}akh-{D}aghestanian					Koryakov, Yury and Maisak, Timur						To appear				De Gruyter Mouton					To appear	
ARTICLE	khalilova2011			Khalilova, Zaira	Evidentiality in {T}sezic languages										Linguistic Discovery				2		30--48					9	2011	
UNPUBLISHED	maisak2017			Maisak, Timur	Tense and aspect among the factors conditioning the distribution of quotatives: data from {A}ndi													12th Conference of the Association for Linguistic Typology (ALT) Workshop ``Reported speech as a syntactic domain'' Canberra, 15 December 2017. Hand-out									2017	
INCOLLECTION	forker2018avar	Leiden		Forker, Diana	The semantics of evidentiality and epistemic modality in {A}var		The semantics of verbal categories in {N}akh-{D}aghestanian languages					Forker, Diana and Maisak, Timur									188--214	Brill					2018	english
BOOK	aikhenvald2004	Oxford		Aikhenvald, Alexandra Y.	Evidentiality																	Oxford University Press					2004	
BOOK	guldemann2008	Berlin / New York		Güldemann, Tom	Quotative {I}ndexes in {A}frican {L}anguages: {A} {S}ynchronic and {D}iachronic {S}urvey																	Mouton De Gruyter					2008	
ARTICLE	forker2019b			Forker, Diana	Reported speech constructions in {S}anzhi {D}argwa and their extension to other areas of grammar										Sprachwissenschaft				2		171--199					44	2019	
INCOLLECTION	friedman2007	Louvain/Paris/Dudley MA		Friedman, Victor A.	The expression of speaker subjectivity in {L}ak ({D}aghestan)		L'Énonciation médiatisée {I}I					Guentchéva, Zlatka and Landabaru, John									351--376	Peeters					2007	
ARTICLE	authier2010			Authier, Gilles	Azeri {M}orphology in {K}ryz ({E}ast {C}aucasian)										Turkic Languages				14		14--42						2010	
INCOLLECTION	greed2014	Oxford		Greed, Teija	The expression of knowledge in {T}atar		The grammar of knowledge: {A} cross-linguistic typology					Aikhenvald, Alexandra and Dixon, R.M.W.									69--88	Oxford University Press					2014	
ARTICLE	daniel2015			Daniel, Michael	Logophoric reference in {A}rchi										Journal of Pragmatics						202--219					88	2015	
