CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	TITLE	TITLE_TRANSLATION	BOOKTITLE	BOOKTITLE_TRANSLATION	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TYPE	VOLUME	YEAR
INCOLLECTION	maisak2021	Amsterdam		Maisak, Timur	Structural and functional variations of the perfect in {L}ezgic languages		The perfect volume: Papers on the Perfect					Eide, Kristin Melum and Fryd, Marc									88–115	John Benjamins					2021
INCOLLECTION	ritz2012	Oxford		Ritz, Marie-Eve	Perfect tense and aspect		The {O}xford {H}andbook of {T}ense and {A}spect					Binnick, Robert I.									881--907	Oxford University Press					2012
BOOK	comrie1976	Cambridge		Comrie, Bernard	Aspect													Reprinted in 2001				Cambridge University Press					1976
INCOLLECTION	mccawley1971	New York		McCawley, J.D.	Tense and time reference in {E}nglish		Studies in linguistic semantics					Fillmore, C.J. and Langendoen, T.									96--113	Holt, Rinehart and Winston					1971
BOOK	bybee1994	Chicago/London		Bybee, Joan L. and Perkins, Revere and Pagliuca, William	The evolution of grammar: tense, aspect and modality in the languages of the world																	The University of Chicago Press					1994
INCOLLECTION	plungian2016	Saint Petersburg		Плунгян, Владимир. А.	К типологии перфекта в языках мира. Предисловие	On typology of Perfect in languages of the world. Introduction	Типология перфекта	Typology of Perfect				Майсак, Тимур А. and Плунгян, Владимир А. and Семёнова, Ксения П.									7--38	Наука					2016
UNPUBLISHED	alexeyevverheesunpub	Berlin/New York		Alexeyev, Mikhail and Verhees, Samira	Botlikh		Handbook of {C}aucasian {L}anguages. {V}ol. 2. {N}akh-{D}aghestanian					Koryakov, Yury and Maisak, Timur						To appear				De Gruyter Mouton					To appear
ARTICLE	bybeedahl1989			Bybee, Joan and Dahl, Östen	The creation of tense and aspect systems in the languages of the world										Studies in Language				1		51--103					13	1989
INCOLLECTION	verhees2018	Amsterdam		Verhees, Samira	The perfect in {A}var and {A}ndi: {C}ross-linguistic variation among two closely related {E}ast {C}aucasian languages		Tense, aspect, modality and evidentiality: {C}ross-linguistic perspectives					Ayoun, Dalila and Celle, Agnès and Lansari, Laure									261--280	John Benjamins					2018
INCOLLECTION	nedjalkovjaxontov1988	Amsterdam		Nedjalkov, Vladimir and Jaxontov, Sergei	The typology of resultative constructions		Typology of resultative constructions					Nedjalkov, Vladimir									3--62	John Benjamins					1988
INCOLLECTION	maisak2018	Leiden		Maisak, Timur	The {A}orist/{P}erfect distinction in {N}izh {U}di		The semantics of verbal categories in {N}akh-{D}aghestanian languages					Forker, Diana and Maisak, Timur									120--165	Brill					2018
INCOLLECTION	belyaev2018	Leiden		Belyaev, Oleg	Aorist, {R}esultative and {P}erfect in {S}hiri {D}argwa and beyond		The semantics of verbal categories in {N}akh-{D}aghestanian languages					Forker, Diana and Maisak, Timur									80--119	Brill					2018
INCOLLECTION	maisak2016	Saint Petersburg		Майсак, Тимур А.	Перфект и аорист в ниджском диалекте удинского языка	Perfect and aorist in Nidzh dialect of Udi	Типология перфекта	Typology of Perfect				Майсак, Тимур А. and Плунгян, Владимир А. and Семёнова, Ксения П.									315--378	Наука					2016
