CATEGORY	BIBTEXKEY	AUTHOR	TITLE	YEAR	TITLE_TRANSLATION	PUBLISHER	ADDRESS	PAGES	BOOKTITLE	BOOKTITLE_TRANSLATION	EDITOR	JOURNAL	VOLUME	NUMBER	SCHOOL	NOTE	URL	CONTRIBUTOR	date_added	COMMENT	correction_notes
book	diessel1999	Diessel, Holger	Demonstratives: Form, Function, and Grammaticalization	1999		John Benjamins	Amsterdam						42								
incollection	diessel2013	Diessel, Holger	Distance Contrasts in Demonstratives	2013		Max Planck Institute for Evolutionary Anthropology	Leipzig		The World Atlas of Language Structures Online		Matthew S. Dryer and Martin Haspelmath						https://wals.info/chapter/41				
incollection	schulze2008	Schulze, Wolfgang	Deictic Strategies in Udi	2008		Академия	Moscow	Удинский сборник: грамматика, лексика, история языка	241--308	Алексеев, Михаил Е. and Майсак, Тимур А. and Ганенков, Дмитрий С. and Ландер, Юрий А.											
incollection	nichols1994	Nichols, Johanna	Chechen	1994		Caravan Press	Delmar, NY	1--77	The Indigenous Languages of the Caucasus, vol. 4: The Northeast Caucasian Languages, Part 2		Smeets, Rieks										
book	nichols2011	Nichols, Johanna	Ingush grammar	2011		University of California Press	Berkeley/Los Angeles														
book	shiralievsevortyan1971	Ширалиев, Мамедага Ш. and Севортян, Эрванд В.	Грамматика азербайджанского языка (фонетика, морфология, синтаксис)	1971	Azerbaijani grammar (phonetics, morphology, syntax)	Элм	Baku														
book	magomedova2004	Магомедова, Патимат Т.	Багвалинско-русский словарь	2004	Bagvalal-Russian dictionary	ИЯЛИ	Makhachkala														
book	talibov2007	Талибов, Букар Б.	Будухский язык	2007	Budukh	Академия	Moscow														
incollection	andersonkeenan1985	Anderson, John and Keenan, Edward	Deixis	1985		Cambridge University Press	Cambridge	259--308	Language typology and syntactic description: Grammatical categories and the lexicon.		Shopen, Timothy		3								
incollection	schulze2003	Schulze, Wolfgang	The Diachrony of Demonstrative Pronouns in East Caucasian	2003		John Benjamins	Amsterdam	291--348	Current Issues in Linguistic Theory		Holisky, Dee Ann and Tuite, Kevin 		246								
incollection	schulze2008	Schulze, Wolfgang	Deictic Strategies in Udi	2008		Академия	Moscow	241--308	Удинский сборник: грамматика, лексика, история языка		Алексеев, Михаил Е. and Майсак, Тимур А. and Ганенков, Дмитрий С. and Ландер, Юрий А.										
conference	mukhinnasledskova2021	Mukhin, Timophey and Nasledskova, Polina	Demonstratives in Kina Rutul	2021			Moscow		Experimental Studies of Russia’s Ethnic Languages												
